Quote,Author,Link
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,/author/Albert-Einstein
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,/author/J-K-Rowling
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,/author/Albert-Einstein
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,/author/Jane-Austen
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,/author/Marilyn-Monroe
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,/author/Albert-Einstein
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,/author/Andre-Gide
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,/author/Thomas-A-Edison
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,/author/Eleanor-Roosevelt
"“A day without sunshine is like, you know, night.”",Steve Martin,/author/Steve-Martin
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,/author/Albert-Einstein
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,/author/J-K-Rowling
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,/author/Albert-Einstein
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,/author/Jane-Austen
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,/author/Marilyn-Monroe
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,/author/Albert-Einstein
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,/author/Andre-Gide
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,/author/Thomas-A-Edison
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,/author/Eleanor-Roosevelt
"“A day without sunshine is like, you know, night.”",Steve Martin,/author/Steve-Martin
